# Grado	Estrés	Rock
0.00	-0.76	0.34
2.00	0.36	-1.00
2.00	0.89	-0.40
3.00	0.60	0.11
2.00	0.73	-1.23
1.00	-1.41	-1.57
2.00	1.13	-0.95
3.00	0.44	0.61
0.00	-0.66	0.65
1.00	-1.16	-1.32
1.00	-1.21	-0.99
1.00	-1.05	-1.59
0.00	-0.92	-0.07
0.00	-0.14	0.63
0.00	-0.69	0.41
1.00	-1.07	-1.05
3.00	0.21	0.43
3.00	0.62	0.65
3.00	0.63	1.09
3.00	0.48	1.28
3.00	0.48	0.67
0.00	-0.49	0.81
2.00	0.66	-0.60
0.00	-1.13	0.74
0.00	-0.53	1.19
2.00	1.24	-1.10
3.00	0.39	0.30
1.00	-0.90	-0.44
0.00	-0.37	0.16
3.00	0.72	0.74
2.00	1.30	-1.36
0.00	-0.19	0.64
0.00	0.10	-0.33
0.00	-0.68	0.57
2.00	1.01	-1.74
3.00	0.80	0.14
2.00	0.45	-0.69
1.00	-1.36	-0.48
1.00	-1.14	-1.51
1.00	-0.71	-1.44
2.00	1.22	-0.81
0.00	-0.50	0.71
1.00	-0.81	-0.94
0.00	-0.78	0.44
1.00	-1.40	-1.30
1.00	-1.06	-0.69
2.00	1.09	-0.38
0.00	0.40	0.48
3.00	0.64	0.41
1.00	-1.14	-1.54
1.00	-0.99	-1.03
0.00	-1.10	0.68
3.00	0.13	0.65
2.00	0.67	-0.93
0.00	-0.82	0.31
0.00	-0.27	-0.01
3.00	0.70	0.23
3.00	0.26	0.89
1.00	-1.13	-1.28
2.00	0.91	-1.35
2.00	1.00	-0.46
3.00	0.48	0.15
0.00	-1.15	0.41
1.00	-0.89	-0.79
2.00	1.16	-1.00
1.00	-1.10	-1.35
0.00	-1.45	0.85
1.00	-0.99	-0.96
0.00	-1.18	0.65
0.00	-0.11	1.40
3.00	-0.06	0.57
2.00	0.94	-0.58
1.00	-0.07	-0.95
1.00	-1.11	-1.10
0.00	-0.75	0.77
2.00	0.62	-0.59
2.00	1.77	-1.67
1.00	-1.23	-1.12
2.00	1.58	-0.98
0.00	-0.12	0.44
0.00	-0.17	0.50
0.00	-0.36	0.75
0.00	-0.62	0.20
0.00	-0.09	0.47
1.00	0.01	-0.29
1.00	-0.44	-0.94
2.00	1.65	-1.08
2.00	0.85	-0.69
1.00	-0.43	-0.83
1.00	-1.18	-0.89
1.00	-0.85	-0.48
2.00	0.97	-1.63
2.00	1.01	-0.93
2.00	1.00	-0.65
3.00	0.68	0.48
2.00	1.20	-1.57
1.00	-0.90	-0.39
0.00	-0.12	0.39
1.00	-0.36	-1.22
0.00	-0.69	0.69
1.00	-1.02	-1.16
2.00	1.56	-0.87
3.00	0.12	0.61
3.00	0.86	0.31
1.00	-0.63	-0.82
1.00	-1.05	-0.88
0.00	-0.14	1.05
1.00	-0.69	-1.17
1.00	-1.06	-1.15
3.00	0.72	0.50
2.00	1.86	-0.81
3.00	-0.36	0.09
1.00	-0.81	-1.39
0.00	-0.03	0.25
0.00	-0.88	0.60
3.00	0.93	0.04
2.00	0.91	-0.83
0.00	-1.08	0.82
0.00	-0.70	0.17
1.00	-1.39	-0.46
0.00	-1.02	0.61
0.00	-0.87	1.00
0.00	-0.29	0.43
0.00	-0.24	-0.15
2.00	1.26	-0.76
3.00	0.74	0.85
3.00	1.38	0.41
0.00	-0.18	0.53
0.00	-0.27	0.41
1.00	-1.55	-0.80
0.00	-0.58	0.85
1.00	-0.69	-1.31
1.00	-1.30	-0.94
3.00	0.86	-0.10
0.00	-0.09	0.10
0.00	-0.20	0.02
0.00	-0.43	0.34
2.00	1.12	-0.64
2.00	2.17	-0.91
3.00	0.82	0.72
3.00	0.40	0.48
2.00	1.51	-1.28
3.00	0.16	1.00
2.00	1.40	-0.76
3.00	0.00	0.22
3.00	0.74	0.97
0.00	-0.84	1.26
2.00	0.61	-1.29
2.00	0.44	-0.93
0.00	-0.74	1.12
0.00	-1.20	0.68
3.00	-0.22	0.49
0.00	-0.27	0.64
1.00	-1.40	-1.40
1.00	-1.01	-1.61
2.00	0.94	-0.28
2.00	1.09	-0.77
3.00	0.75	0.26
2.00	1.10	-1.16
2.00	0.67	-0.28
1.00	-1.21	-0.74
1.00	-0.45	-1.20
3.00	0.73	0.28
0.00	-1.10	-0.21
3.00	0.76	0.67
2.00	1.03	-1.33
3.00	0.76	1.23
3.00	0.58	1.00
3.00	0.42	0.16
3.00	0.34	1.40
0.00	-0.76	0.29
3.00	0.18	0.20
0.00	-0.77	0.51
2.00	1.01	-1.04
2.00	0.98	-1.28
2.00	1.26	-0.72
0.00	-0.16	0.40
1.00	-0.87	-0.11
2.00	1.61	-0.96
3.00	0.56	0.59
2.00	1.18	-0.96
0.00	0.25	0.11
3.00	0.63	1.33
0.00	-0.60	0.43
3.00	1.02	0.54
2.00	1.39	-1.62
3.00	1.00	0.44
2.00	0.96	-1.35
1.00	-1.48	-1.20
2.00	-0.13	-1.43
3.00	0.92	0.27
0.00	-0.68	0.51
1.00	-0.89	-0.83
0.00	-0.95	0.21
3.00	0.17	0.76
3.00	-0.06	-0.28
2.00	1.38	-0.78
2.00	1.02	-0.26
3.00	0.56	0.36
0.00	-0.17	0.52
0.00	-0.65	0.54
3.00	1.28	1.00
2.00	0.96	-0.64
1.00	-0.94	-1.78
3.00	0.77	-0.37
3.00	1.24	1.07
1.00	-1.37	0.06
1.00	-0.71	-0.99
3.00	-0.22	0.83
2.00	1.03	-1.11
1.00	-1.13	-1.29
1.00	-1.55	-0.22
0.00	-0.38	1.03
0.00	-0.32	0.11
1.00	-0.63	-1.05
0.00	-0.43	0.75
0.00	0.11	0.72
2.00	0.02	-0.55
3.00	0.32	0.50
2.00	1.02	-1.23
2.00	0.60	-1.33
2.00	0.79	-1.38
3.00	0.06	0.06
1.00	-0.91	-1.67
2.00	0.86	-1.10
2.00	1.08	-0.96
0.00	-0.43	0.35
2.00	0.86	-0.76
2.00	0.28	-1.43
1.00	-1.66	-1.29
2.00	1.01	-1.05
1.00	-1.32	-1.36
3.00	0.63	0.42
0.00	-0.29	0.27
0.00	-1.34	0.55
2.00	0.74	-0.97
1.00	-1.55	-0.65
3.00	0.55	-0.06
3.00	0.54	0.70
0.00	-0.71	0.11
0.00	-0.36	0.78
0.00	-0.42	0.93
3.00	-0.08	-0.12
1.00	-1.42	-1.43
0.00	-0.91	0.77
3.00	0.62	0.91
1.00	-0.79	-0.87
0.00	-0.79	-0.05
0.00	-0.15	0.61
2.00	0.69	-1.12
0.00	-0.15	0.20
1.00	-1.58	-1.27
3.00	-0.06	0.74
1.00	-1.34	-1.24
3.00	0.72	0.10
1.00	-1.76	-1.07
2.00	1.06	-0.27
1.00	-0.77	-0.94
3.00	0.58	0.80
1.00	-0.98	-1.09
1.00	-0.94	-1.39
3.00	0.56	0.69
1.00	-0.36	-1.10
2.00	0.47	-1.14
2.00	0.66	-1.55
2.00	1.72	-1.08
2.00	1.04	-1.04
2.00	1.27	-0.48
0.00	-0.39	0.10
2.00	1.44	-1.05
3.00	-0.12	0.84
3.00	0.73	0.87
0.00	-0.81	-0.08
0.00	-0.72	0.67
1.00	-0.39	-1.47
0.00	-0.13	0.73
0.00	-0.17	1.04
0.00	-1.52	0.76
2.00	1.50	-1.04
0.00	-0.48	-0.16
1.00	-0.48	-1.01
2.00	0.89	-1.46
3.00	0.71	0.66
2.00	0.74	-1.45
1.00	-0.87	-0.60
2.00	0.89	-1.53
0.00	-0.35	0.49
0.00	-1.56	0.74
0.00	-0.30	0.92
2.00	1.35	-0.93
0.00	-0.64	0.18
0.00	-0.16	0.96
0.00	-0.58	0.34
3.00	0.60	0.92
2.00	0.15	-1.74
2.00	1.50	-1.83
3.00	0.28	0.43
3.00	0.29	0.81
3.00	0.47	0.31
0.00	0.30	0.48
2.00	0.60	-0.50
2.00	0.32	-0.71
3.00	0.45	0.70
3.00	0.14	0.63
0.00	0.50	-0.40
2.00	1.03	-1.19
2.00	0.94	-0.96
2.00	0.94	-1.52
1.00	-1.25	-0.60
0.00	0.11	1.19
2.00	0.52	-0.83
2.00	0.33	-1.20
3.00	0.77	0.60
2.00	1.35	-0.59
0.00	-0.39	0.14
1.00	-0.79	-1.22
3.00	0.10	0.57
3.00	0.11	-0.19
1.00	-0.65	-1.35
1.00	-1.50	-1.23
1.00	-0.98	-1.72
2.00	1.34	-1.27
0.00	-0.82	0.22
3.00	0.26	0.41
2.00	0.67	-1.38
2.00	0.96	-1.42
1.00	-1.07	-1.20
0.00	-0.77	1.02
2.00	0.33	-1.05
1.00	-0.70	-0.77
3.00	0.21	0.23
2.00	1.00	-0.50
3.00	-0.54	0.54
3.00	0.89	0.91
2.00	1.21	-2.02
2.00	0.69	-1.19
2.00	1.08	-0.54
1.00	-1.26	-0.81
0.00	-0.76	-0.39
0.00	-0.77	0.36
0.00	-0.82	0.05
3.00	0.28	0.82
3.00	0.46	0.34
0.00	-0.77	0.45
3.00	0.57	-0.38
1.00	-1.22	-1.44
1.00	-1.29	-1.36
2.00	1.32	-1.74
3.00	0.20	0.90
3.00	0.54	0.41
3.00	0.45	0.70
1.00	-0.24	-1.01
2.00	1.13	-1.55
2.00	0.26	-0.44
0.00	-0.56	1.40
3.00	0.68	0.20
0.00	-0.78	0.38
3.00	0.35	0.84
1.00	-1.66	-1.16
2.00	1.46	-1.36
3.00	0.35	0.44
0.00	-0.51	0.56
0.00	-0.02	0.63
1.00	-0.91	-1.04
0.00	-0.30	0.45
3.00	-0.27	-0.41
2.00	0.86	0.02
1.00	-1.16	-0.71
1.00	-1.30	-1.48
0.00	-0.96	0.38
2.00	0.94	-1.49
2.00	1.27	-1.17
1.00	-1.59	-1.51
1.00	-1.30	-0.88
2.00	0.59	-1.41
1.00	-1.12	-1.70
2.00	0.34	-0.94
3.00	0.48	0.34
3.00	-0.14	0.48
0.00	-0.42	0.48
0.00	-0.74	0.40
2.00	1.24	-1.65
0.00	-1.27	0.58
1.00	-0.96	-0.95
0.00	-1.20	-0.02
1.00	-1.58	-1.18
1.00	-1.35	-1.09
3.00	0.46	0.66
0.00	-0.75	0.31
0.00	0.03	0.15
1.00	-0.36	-1.08
3.00	0.79	0.48
0.00	-0.96	0.81
1.00	-1.40	-0.33
2.00	0.81	-0.89
3.00	0.06	0.34
1.00	-0.77	-1.13
1.00	-1.33	-1.58
2.00	1.64	-1.26
1.00	-0.89	-0.61
2.00	0.23	-0.73
3.00	0.88	0.09
2.00	1.37	-0.12
0.00	-0.64	0.56
1.00	-1.12	-1.26
2.00	1.42	-1.41
1.00	-0.58	-0.81
0.00	-0.37	0.71
2.00	0.83	-0.77
3.00	1.00	0.01
0.00	-0.51	0.20
0.00	-0.54	1.05
2.00	1.22	-1.43
1.00	-0.37	-0.74
0.00	-0.68	0.39
2.00	0.80	-1.17
3.00	0.86	0.53
1.00	-1.16	-1.16
1.00	-1.20	-0.99
1.00	-1.00	-0.37
3.00	0.93	0.44
1.00	-0.33	-0.88
0.00	-0.04	0.01
1.00	-1.38	-0.83
3.00	0.30	0.76
0.00	-0.76	0.29
0.00	-0.51	1.45
0.00	-0.86	0.33
1.00	-1.02	-1.38
0.00	-0.51	0.67
